Year,Month,Community,Total Complaints,Total Number of Callers
2017,6,Redwood City,1690,15
2017,3,San Mateo,1120,15
2017,11,Berkeley,80,5
2017,8,Fremont,15,1
2017,11,Piedmont,10,3
2017,5,Santa Cruz,23092,139
2017,8,Soquel,10120,86
2017,10,South San Francisco,237,9
2017,11,East Palo Alto,9,2
2017,6,Soquel,7478,89
2017,9,Napa,1,1
2017,11,Boulder Creek,125,5
2017,8,Atherton,517,9
2017,7,Portola Valley,7655,48
2017,7,Moraga,245,1
2017,3,Piedmont,126,2
2017,4,Los Altos,38305,250
2017,4,Santa Cruz,23738,135
2017,9,Pacifica,9574,66
2017,10,Hayward,14,3
2017,7,Soquel,7007,85
2017,1,San Bruno,11,7
2017,3,San Jose,144,6
2017,1,Mount Hermon,1,1
2017,10,Los Altos,20430,184
2017,11,Ben Lomond,136,3
2017,5,Millbrae,2,1
2017,9,Oakland,9904,45
2017,5,Berkeley,410,2
2017,8,Aptos,1262,19
2017,6,Watsonville,160,1
2017,2,Cupertino,1113,4
2017,7,Mountain View,4562,64
2017,7,Lafayette,2,1
2017,5,Burlingame,66,11
2017,6,San Mateo,1470,15
2017,4,Menlo Park,3061,37
2017,3,Brisbane,6264,53
2017,1,Redwood City,1846,23
2017,11,Santa Cruz,27772,142
2017,2,Mount Hermon,1,1
2017,2,Belmont,620,8
2017,6,Los Gatos,26198,158
2017,6,South San Francisco,831,14
2017,7,Cupertino,279,2
2017,6,Sunnyvale,430,24
2017,3,San Bruno,4,4
2017,1,Kensington,1,1
2017,2,Campbell,4,1
2017,1,Portola Valley,8131,55
2017,9,Morgan Hill,720,2
2017,2,Alameda,74,5
2017,2,Portola Valley,6396,53
2017,6,Portola Valley,6603,54
2017,11,Hillsborough,3,2
2017,3,San Pablo,2,1
2017,8,Felton,553,10
2017,3,San Leandro,12,1
2017,2,Carmel Valley,157,1
2017,5,Los Altos Hills,9924,43
2017,6,El Cerrito,1,1
2017,3,Fremont,801,4
2017,3,Millbrae,11,3
2017,7,Carmel Valley,320,2
2017,6,Daly City,1342,11
2017,9,South San Francisco,629,20
2017,6,Boulder Creek,292,7
2017,1,Capitola,1945,17
2017,1,Cupertino,2372,3
2017,3,Lafayette,312,3
2017,8,San Bruno,1242,8
2017,8,Lafayette,176,1
2017,1,Felton,195,11
2017,7,Foster City,587,11
2017,7,Palo Alto,53126,273
2017,5,Fremont,265,4
2017,2,Los Altos,24472,237
2017,3,Daly City,3573,16
2017,8,Alameda,61,2
2017,6,Menlo Park,1708,36
2017,11,Menlo Park,2360,28
2017,11,Portola Valley,5999,40
2017,6,Mountain View,4686,71
2017,5,Alameda,32,2
2017,9,Half Moon Bay,657,12
2017,9,Ben Lomond,260,3
2017,9,Soquel,10607,90
2017,3,Half Moon Bay,412,7
2017,2,Woodside,1030,22
2017,5,Redwood City,2086,23
2017,10,Saratoga,1126,11
2017,9,Millbrae,9,1
2017,11,Orinda,663,1
2017,8,Hayward,80,1
2017,10,Santa Cruz,16305,122
2017,9,East Palo Alto,25,3
2017,6,Danville,4,1
2017,2,Brentwood,74,1
2017,10,Orinda,232,1
2017,6,Los Altos,29576,235
2017,10,Cupertino,51,2
2017,4,San Leandro,2,1
2017,6,Atherton,575,11
2017,7,Orinda,348,1
2017,2,Aptos,538,11
2017,5,Piedmont,1,1
2017,7,Alameda,49,3
2017,2,Foster City,704,15
2017,4,Portola Valley,9997,61
2017,3,San Carlos,2,2
2017,4,Morgan Hill,535,2
2017,10,Soquel,4965,79
2017,5,Atherton,463,11
2017,3,East Palo Alto,36,3
2017,4,Los Altos Hills,11344,39
2017,3,Boulder Creek,132,8
2017,9,Mountain View,5448,69
2017,2,San Pablo,1,1
2017,1,La Selva Beach,26,2
2017,11,Pacifica,6480,58
2017,10,San Mateo,326,17
2017,9,Sunnyvale,697,22
2017,10,Antioch,2,1
2017,7,San Francisco,2941,38
2017,10,Portola Valley,5961,47
2017,10,Pacifica,5625,61
2017,9,Boulder Creek,260,5
2017,9,San Francisco,6429,41
2017,1,Alameda,98,4
2017,11,Soquel,10656,98
2017,6,Morgan Hill,637,2
2017,1,Santa Cruz,15198,116
2017,5,Aptos,628,12
2017,4,Watsonville,217,2
2017,10,Morgan Hill,1064,2
2017,2,Ben Lomond,16,2
2017,11,Fremont,9,1
2017,10,Half Moon Bay,367,6
2017,4,San Mateo,1458,15
2017,7,Millbrae,41,4
2017,1,San Francisco,3145,52
2017,4,Santa Clara,1,1
2017,5,Half Moon Bay,186,11
2017,11,Woodside,1179,14
2017,8,San Francisco,3701,40
2017,9,Capitola,2653,15
2017,7,Los Gatos,29127,167
2017,9,Cupertino,424,3
2017,4,Foster City,957,14
2017,2,Menlo Park,4288,45
2017,7,Redwood City,2252,15
2017,10,Mountain View,3238,51
2017,2,Millbrae,139,10
2017,2,San Gregorio,1,1
2017,10,Hillsborough,48,1
2017,5,Portola Valley,9487,55
2017,8,Berkeley,17,2
2017,4,South San Francisco,855,19
2017,4,Fremont,573,4
2017,2,San Francisco,2616,54
2017,7,Capitola,2742,20
2017,7,Daly City,1762,9
2017,11,Sunnyvale,1414,34
2017,7,South San Francisco,1484,41
2017,11,Union City,382,1
2017,5,Ben Lomond,141,3
2017,6,Capitola,2986,17
2017,6,Cupertino,816,3
2017,10,East Palo Alto,39,3
2017,9,Castro Valley,2,2
2017,4,Ben Lomond,113,3
2017,5,Moraga,285,2
2017,1,Atherton,194,8
2017,9,Moraga,557,2
2017,11,San Bruno,161,8
2017,10,Woodside,822,11
2017,7,Scotts Valley,16604,88
2017,4,Alameda,18,2
2017,5,South San Francisco,1268,24
2017,1,South San Francisco,1508,28
2017,4,Boulder Creek,321,6
2017,8,Millbrae,56,6
2017,8,Los Altos Hills,9940,38
2017,6,Saratoga,1212,15
2017,3,Mountain View,9568,82
2017,6,Aptos,663,10
2017,1,Burlingame,322,49
2017,3,Soquel,10136,96
2017,7,Half Moon Bay,559,7
2017,5,La Selva Beach,40,1
2017,11,Bonny Doon,72,4
2017,2,Pacifica,8060,63
2017,3,Capitola,3303,18
2017,3,Saratoga,1679,16
2017,11,Brentwood,1,1
2017,10,San Francisco,4661,40
2017,10,Felton,275,9
2017,6,Pacifica,6729,75
2017,3,Carmel Valley,175,1
2017,6,Hillsborough,52,4
2017,4,Burlingame,115,10
2017,1,Oakland,9362,34
2017,8,San Jose,23,4
2017,9,Los Altos Hills,9003,34
2017,9,Berkeley,52,6
2017,7,Ben Lomond,122,2
2017,8,Half Moon Bay,571,9
2017,5,Morgan Hill,481,2
2017,3,Atherton,220,7
2017,5,Sunnyvale,1146,34
2017,10,Foster City,427,13
2017,10,Fremont,17,2
2017,4,Piedmont,38,1
2017,8,La Selva Beach,3,1
2017,10,Alameda,13,2
