Year,Month,Community,Total Complaints,Total Number of Callers
2018,4,Ben Lomond,445.0,13.0
2018,4,Sunnyvale,205.0,11.0
2018,2,Ben Lomond,589.0,20.0
2018,5,Fremont,30.0,1.0
2018,5,Palo Alto,56735.0,253.0
2018,8,Belmont,410.0,8.0
2018,1,Felton,698.0,11.0
2018,4,Felton,892.0,21.0
2018,7,Berkeley,306.0,4.0
2018,6,Morgan Hill,138.0,2.0
2018,2,Belmont,882.0,8.0
2018,5,San Mateo,1393.0,11.0
2018,3,Santa Clara,37.0,1.0
2018,8,Watsonville,273.0,1.0
2018,3,Brisbane,3669.0,30.0
2018,6,El Cerrito,2.0,2.0
2018,3,Portola Valley,7497.0,40.0
2018,6,Cupertino,599.0,2.0
2018,1,South San Francisco,943.0,13.0
2018,4,Fremont,28.0,1.0
2018,8,Richmond,21.0,1.0
2018,8,Union City,53.0,1.0
2018,1,Los Altos Hills,8471.0,27.0
2018,2,Hayward,11.0,2.0
2018,3,Lafayette,442.0,1.0
2018,4,Belmont,749.0,5.0
2018,8,Moraga,117.0,3.0
2018,4,Woodside,1637.0,12.0
2018,3,San Bruno,350.0,10.0
2018,1,Woodside,1305.0,14.0
2018,1,Carmel,213.0,2.0
2018,5,South San Francisco,85.0,17.0
2018,6,East Palo Alto,24.0,2.0
2018,2,Sacramento,2.0,2.0
2018,7,Moraga,177.0,3.0
2018,6,Berkeley,170.0,4.0
2018,7,Cupertino,496.0,2.0
2018,8,Capitola,2663.0,25.0
2018,3,Brookdale,16.0,2.0
2018,5,Lafayette,175.0,1.0
2018,6,Pacifica,5024.0,45.0
2018,1,San Mateo,534.0,9.0
2018,7,Bonny Doon,201.0,4.0
2018,1,Fremont,39.0,2.0
2018,2,Carmel,91.0,2.0
2018,4,Los Gatos,28141.0,154.0
2018,1,Orinda,294.0,1.0
2018,8,Cupertino,363.0,1.0
2018,7,Daly City,692.0,6.0
2018,5,Portola Valley,10406.0,43.0
2018,6,Aptos,325.0,12.0
2018,2,Mountain View,7470.0,60.0
2018,6,Daly City,1185.0,10.0
2018,2,Berkeley,9.0,2.0
2018,7,San Francisco,3342.0,31.0
2018,1,Palo Alto,57543.0,232.0
2018,5,Atherton,515.0,7.0
2018,1,Hayward,1.0,1.0
2018,3,Menlo Park,2595.0,29.0
2018,5,Los Altos,27988.0,190.0
2018,8,Orinda,30.0,1.0
2018,3,Mount Hermon,2.0,1.0
2018,5,Carmel,286.0,4.0
2018,8,San Jose,11.0,2.0
2018,3,Los Altos,28338.0,186.0
2018,3,Alameda,33.0,3.0
2018,8,Atherton,598.0,6.0
2018,3,La Selva Beach,34.0,1.0
2018,4,Soquel,9857.0,97.0
2018,7,Pacifica,4943.0,46.0
2018,6,Los Gatos,19068.0,145.0
2018,4,Hayward,1.0,1.0
2018,8,Fremont,12.0,2.0
2018,4,Foster City,603.0,11.0
2018,1,Millbrae,3.0,3.0
2018,1,Lafayette,29.0,1.0
2018,6,Soquel,6139.0,86.0
2018,4,San Bruno,492.0,6.0
2018,7,Redwood City,1725.0,13.0
2018,8,San Mateo,1026.0,23.0
2018,8,San Carlos,128.0,2.0
2018,1,Portola Valley,6905.0,37.0
2018,6,Alameda,31.0,1.0
2018,8,Brisbane,2620.0,23.0
2018,1,Moraga,339.0,1.0
2018,4,Half Moon Bay,1000.0,8.0
2018,1,Ben Lomond,165.0,4.0
2018,4,El Granada,222.0,3.0
2018,3,San Jose,92.0,1.0
2018,7,Atherton,988.0,5.0
2018,4,Los Altos Hills,8961.0,32.0
2018,2,Watsonville,179.0,1.0
2018,6,Castro Valley,7.0,1.0
2018,3,Felton,1558.0,40.0
2018,1,Boulder Creek,168.0,5.0
2018,5,Alameda,40.0,1.0
2018,2,San Bruno,459.0,6.0
2018,3,Carmel,112.0,2.0
2018,8,Alameda,10.0,1.0
2018,7,Los Altos,23589.0,176.0
2018,5,Pacifica,8581.0,60.0
2018,5,Foster City,587.0,10.0
2018,8,Redwood City,1619.0,16.0
2018,1,Los Altos,26840.0,172.0
2018,6,Capitola,2666.0,20.0
2018,2,San Carlos,7.0,2.0
2018,4,Los Altos,28287.0,180.0
2018,2,Bonny Doon,199.0,2.0
2018,1,El Granada,2.0,1.0
2018,8,Pacifica,4203.0,32.0
2018,1,Scotts Valley,12824.0,78.0
2018,3,Scotts Valley,13259.0,95.0
2018,5,Redwood City,2415.0,14.0
2018,8,Soquel,8576.0,85.0
2018,5,Hillsborough,6.0,5.0
2018,8,Los Altos Hills,9801.0,31.0
2018,2,Daly City,1012.0,9.0
2018,5,Berkeley,952.0,6.0
2018,2,Aptos,240.0,17.0
2018,8,East Palo Alto,12.0,3.0
2018,3,Boulder Creek,1582.0,28.0
2018,4,Capitola,4060.0,23.0
2018,5,Oakland,8258.0,37.0
2018,3,Woodside,1234.0,13.0
2018,1,Oakland,9621.0,30.0
2018,8,Scotts Valley,13778.0,79.0
2018,5,San Bruno,257.0,8.0
2018,4,Mountain View,5285.0,60.0
2018,6,Mountain View,5634.0,70.0
2018,7,Fremont,16.0,1.0
2018,5,San Francisco,5855.0,39.0
2018,1,San Francisco,5408.0,39.0
2018,3,Redwood City,1832.0,16.0
2018,2,Half Moon Bay,535.0,6.0
2018,3,Fremont,25.0,2.0
2018,1,Capitola,2762.0,22.0
2018,5,El Granada,730.0,2.0
2018,6,Los Altos,24241.0,173.0
2018,3,Burlingame,620.0,11.0
2018,2,La Selva Beach,6.0,1.0
2018,4,Berkeley,49.0,6.0
2018,3,Aptos,1044.0,16.0
2018,7,South San Francisco,28.0,9.0
2018,3,San Carlos,15.0,3.0
2018,2,Palo Alto,46250.0,227.0
2018,3,Ben Lomond,687.0,22.0
2018,1,San Carlos,3.0,2.0
2018,4,Hillsborough,2.0,1.0
2018,7,Santa Cruz,27440.0,140.0
2018,2,Saratoga,338.0,8.0
2018,8,Felton,1059.0,15.0
2018,8,Sunnyvale,277.0,9.0
2018,4,Richmond,1.0,1.0
2018,1,Pacifica,7047.0,53.0
2018,8,Half Moon Bay,133.0,4.0
2018,6,El Sobrante,2.0,1.0
2018,5,Saratoga,935.0,9.0
2018,6,San Carlos,3.0,2.0
2018,4,Atherton,707.0,7.0
2018,1,Aptos,966.0,13.0
2018,6,Belmont,630.0,4.0
2018,7,Pinole,1.0,1.0
2018,4,Brisbane,3897.0,30.0
2018,6,Orinda,103.0,1.0
2018,6,South San Francisco,62.0,12.0
2018,6,Sunnyvale,573.0,13.0
2018,4,East Palo Alto,68.0,2.0
2018,4,Alameda,13.0,1.0
2018,3,Belmont,879.0,7.0
2018,6,Santa Cruz,15715.0,131.0
2018,6,Half Moon Bay,259.0,9.0
2018,4,Millbrae,3.0,3.0
2018,4,San Jose,24.0,1.0
2018,7,Half Moon Bay,382.0,9.0
2018,2,Los Altos Hills,10944.0,36.0
2018,2,Albany,1.0,1.0
2018,6,Oakland,7178.0,29.0
2018,7,Watsonville,261.0,1.0
2018,4,Aptos,1005.0,15.0
2018,3,Piedmont,5.0,1.0
2018,2,Santa Cruz,8725.0,163.0
2018,6,San Bruno,423.0,6.0
2018,3,Orinda,643.0,1.0
2018,3,San Mateo,866.0,14.0
2018,5,Menlo Park,1771.0,28.0
2018,8,Palo Alto,53751.0,226.0
2018,5,San Carlos,22.0,2.0
2018,6,Woodside,1356.0,12.0
2018,8,Carmel,225.0,3.0
2018,2,El Granada,106.0,1.0
2018,7,Saratoga,770.0,9.0
2018,5,El Sobrante,8.0,1.0
2018,5,Orinda,228.0,1.0
2018,6,Los Altos Hills,9129.0,32.0
2018,1,Alameda,3.0,2.0
2018,4,Scotts Valley,15159.0,92.0
2018,1,Morgan Hill,720.0,2.0
2018,8,La Selva Beach,34.0,1.0
2018,1,Cupertino,939.0,3.0
2018,5,Los Altos Hills,9146.0,34.0
2018,4,Santa Cruz,25475.0,159.0
2018,3,Cupertino,1081.0,3.0
2018,4,Lafayette,144.0,2.0
2018,6,Watsonville,194.0,2.0
2018,2,San Jose,18.0,2.0
2018,1,Atherton,511.0,8.0
2018,2,Los Gatos,11018.0,143.0
2018,4,Pacifica,7194.0,61.0
2018,5,Brisbane,2893.0,33.0
2018,6,Menlo Park,1787.0,20.0
2018,3,Capitola,3460.0,26.0
2018,6,Richmond,52.0,1.0
2018,4,Daly City,1255.0,8.0
2018,5,Felton,1252.0,26.0
2018,8,Lafayette,2.0,1.0
2018,5,Boulder Creek,860.0,17.0
2018,5,Burlingame,132.0,6.0
2018,5,Morgan Hill,292.0,2.0
2018,8,Morgan Hill,72.0,2.0
2018,2,Pacifica,6753.0,53.0
2018,5,Bonny Doon,261.0,4.0
2018,7,San Jose,25.0,4.0
2018,4,Menlo Park,2069.0,24.0
2018,5,East Palo Alto,35.0,3.0
2018,2,Felton,4300.0,64.0
2018,3,East Palo Alto,27.0,2.0
2018,4,Orinda,192.0,1.0
2018,8,South San Francisco,105.0,16.0
2018,2,Millbrae,5.0,5.0
2018,2,Lafayette,202.0,2.0
2018,6,Scotts Valley,9469.0,82.0
2018,3,Palo Alto,57528.0,244.0
2018,1,Brookdale,4.0,1.0
2018,7,Scotts Valley,16900.0,82.0
2017,9,Scotts Valley,16588.0,98.0
2017,12,Daly City,6.0,575.0
2017,12,Fremont,1.0,29.0
2017,12,Union City,1.0,92.0
